Policy_ID,Latitude,Longitude,Line_of_Business,Construction_Type,Replacement_Cost_Value,HAZ_CLASS
POL-00498,38.717856535670784,-122.10252185012959,Residential,Wood Frame,243357,Low_or_Unzoned
POL-00499,41.5332038413789,-121.3507413265328,Residential,Wood Frame,513062,Low_or_Unzoned
POL-00500,41.46435124159219,-120.77462845860792,Commercial,Wood Frame,636759,Low_or_Unzoned
POL-00501,36.48740951079816,-120.30017830791753,Residential,Masonry,206647,Low_or_Unzoned
POL-00502,36.27714678064655,-118.37527389406586,Commercial,Wood Frame,185465,Low_or_Unzoned
POL-00503,41.84778765561837,-122.90669941399295,Residential,Masonry,772903,Low_or_Unzoned
POL-00504,36.38867305999291,-118.2230158592841,Residential,Wood Frame,390395,Low_or_Unzoned
POL-00505,34.684568755965316,-120.09698585559747,Residential,Masonry,473225,Low_or_Unzoned
POL-00506,34.52449468823829,-117.13847533267517,Residential,Masonry,405244,Low_or_Unzoned
POL-00507,36.99549411356979,-117.5559018710804,Residential,Wood Frame,1823887,Low_or_Unzoned
POL-00508,41.69783756518986,-124.09679078807338,Residential,Wood Frame,1482749,Low_or_Unzoned
POL-00509,39.877670101521545,-120.08226609302952,Residential,Wood Frame,200810,Low_or_Unzoned
POL-00510,33.74682633798268,-116.12305084591874,Residential,Wood Frame,352838,Low_or_Unzoned
POL-00511,32.80899870516689,-115.42415420221228,Commercial,Wood Frame,1066617,Low_or_Unzoned
POL-00512,38.35817798794701,-119.51136216821573,Residential,Wood Frame,874623,Low_or_Unzoned
POL-00513,40.067104264273674,-120.44646517565573,Residential,Steel Frame,522736,Low_or_Unzoned
POL-00514,33.614427795142745,-117.17975432995132,Residential,Steel Frame,217492,Low_or_Unzoned
POL-00515,36.587906001544894,-119.45412062121919,Commercial,Masonry,313002,Low_or_Unzoned
POL-00516,37.17014819404365,-118.72796882078524,Residential,Wood Frame,357391,Low_or_Unzoned
POL-00517,35.44843860977395,-118.64426874255275,Residential,Masonry,674411,Low_or_Unzoned
POL-00518,37.05941892981267,-119.57122815911279,Commercial,Wood Frame,2111653,High
POL-00519,39.10232791820216,-122.47689783688965,Commercial,Wood Frame,311918,Low_or_Unzoned
POL-00520,40.67116277329744,-123.14475190722574,Residential,Wood Frame,237796,Low_or_Unzoned
POL-00521,39.90858439448682,-121.37247631690278,Residential,Wood Frame,495404,Low_or_Unzoned
POL-00522,32.876378840809394,-116.30949508607955,Commercial,Wood Frame,1233530,Low_or_Unzoned
POL-00523,37.06481599894938,-119.54792316544976,Commercial,Wood Frame,169819,High
POL-00524,41.87329463603789,-121.00634049664102,Residential,Steel Frame,1728746,Low_or_Unzoned
POL-00525,33.85370765756438,-114.63079408470006,Residential,Wood Frame,470887,Low_or_Unzoned
POL-00526,37.239437457787886,-120.89821951780475,Residential,Steel Frame,300302,High
POL-00527,37.81666249312568,-122.61877885795342,Residential,Wood Frame,150218,Low_or_Unzoned
POL-00528,32.592823050482245,-115.14302903616814,Residential,Wood Frame,950949,Low_or_Unzoned
POL-00529,35.601382428317926,-119.66626858208431,Residential,Wood Frame,471211,Low_or_Unzoned
POL-00530,33.246495722972696,-116.93520421464106,Commercial,Masonry,619435,Low_or_Unzoned
POL-00531,33.4933944831768,-118.13808344061543,Commercial,Wood Frame,262853,Low_or_Unzoned
POL-00532,38.54608737066455,-120.00230609402712,Residential,Wood Frame,418621,Low_or_Unzoned
POL-00533,32.8000683758436,-116.27323422282696,Residential,Wood Frame,366126,Low_or_Unzoned
POL-00534,41.39401633931505,-124.38961114231263,Residential,Wood Frame,498583,Low_or_Unzoned
POL-00535,32.99372719468899,-116.50015610903642,Residential,Masonry,316272,Low_or_Unzoned
POL-00536,40.116416789163026,-120.41330950445389,Residential,Wood Frame,158364,Low_or_Unzoned
POL-00537,36.79702370292385,-119.1559300755685,Residential,Wood Frame,4793636,Low_or_Unzoned
POL-00538,38.61398810436699,-119.74533954451456,Residential,Masonry,181548,Low_or_Unzoned
POL-00539,37.500825278893075,-121.57370968275048,Residential,Wood Frame,624787,Low_or_Unzoned
POL-00540,40.78194388262592,-120.24782983255002,Commercial,Masonry,130924,Low_or_Unzoned
POL-00541,41.77071993028175,-123.92285377818187,Residential,Masonry,109355,Low_or_Unzoned
POL-00542,35.700510021825515,-118.42531090886293,Residential,Steel Frame,584353,Low_or_Unzoned
POL-00543,40.00213581785355,-122.87753128509955,Commercial,Wood Frame,621253,Low_or_Unzoned
POL-00544,38.75772386725832,-119.88458911138457,Residential,Masonry,1482438,Low_or_Unzoned
POL-00545,37.23285930630482,-119.14016862086237,Residential,Wood Frame,743881,Low_or_Unzoned
POL-00546,37.7759537339075,-121.7826797121725,Residential,Masonry,479333,Low_or_Unzoned
POL-00547,39.332416893586505,-121.17720012581863,Commercial,Wood Frame,252791,Low_or_Unzoned
POL-00548,41.96517220253905,-121.31619226963537,Residential,Wood Frame,1792657,Low_or_Unzoned
POL-00549,33.18588488530217,-114.94924839333508,Residential,Masonry,1136064,Low_or_Unzoned
POL-00550,34.94798744085653,-115.98782251145528,Residential,Wood Frame,199373,Low_or_Unzoned
POL-00551,40.74858880137961,-123.54107978949764,Residential,Masonry,557028,Low_or_Unzoned
POL-00552,39.40810616277993,-122.80479929665432,Residential,Masonry,606367,Low_or_Unzoned
POL-00553,36.542186677256716,-118.85582849177636,Residential,Wood Frame,409821,Low_or_Unzoned
POL-00554,32.881037318418585,-117.22445643423994,Commercial,Wood Frame,1001971,Low_or_Unzoned
POL-00555,36.66684648230111,-121.48113240647054,Commercial,Wood Frame,1051140,Low_or_Unzoned
POL-00556,37.12335494353468,-118.90010274747415,Residential,Steel Frame,463986,Low_or_Unzoned
POL-00557,40.79752076177577,-120.24072477580401,Residential,Wood Frame,431621,Low_or_Unzoned
POL-00558,41.05666770810696,-122.7238001146546,Residential,Wood Frame,1792580,Low_or_Unzoned
POL-00559,35.12986407373299,-115.54016954000085,Commercial,Masonry,1139694,Low_or_Unzoned
POL-00560,38.12732812163694,-119.2675032029105,Residential,Steel Frame,572568,Low_or_Unzoned
POL-00561,41.13580894632359,-120.60477601778223,Residential,Masonry,146771,Low_or_Unzoned
POL-00562,34.2069895342673,-116.3924037100337,Commercial,Masonry,711549,Low_or_Unzoned
POL-00563,41.728253393395576,-120.4625839560842,Commercial,Wood Frame,944552,Low_or_Unzoned
POL-00564,34.84869520683018,-119.41618316228423,Residential,Wood Frame,59657,Low_or_Unzoned
POL-00565,36.73039992252532,-118.44686651703141,Commercial,Wood Frame,660991,Low_or_Unzoned
POL-00566,37.390764862332055,-120.90827093609568,Commercial,Masonry,387180,High
POL-00567,38.13303308863181,-121.99795845919253,Residential,Masonry,452850,Low_or_Unzoned
POL-00568,36.215274598191726,-119.20271929742422,Residential,Masonry,261475,Low_or_Unzoned
POL-00569,41.70941706218523,-121.76108291739807,Commercial,Masonry,479955,Low_or_Unzoned
POL-00570,35.5893056101346,-119.13351487453983,Residential,Wood Frame,1645563,Low_or_Unzoned
POL-00571,34.112700098331636,-115.38621391932551,Residential,Wood Frame,378087,Low_or_Unzoned
POL-00572,37.437852511282166,-118.37738954856107,Residential,Wood Frame,1169935,Low_or_Unzoned
POL-00573,35.70153017609722,-116.96085112966648,Commercial,Wood Frame,283490,Low_or_Unzoned
POL-00574,40.37439197588479,-120.59354253797183,Commercial,Masonry,991530,Low_or_Unzoned
POL-00575,34.86278558958249,-119.69204690116575,Residential,Wood Frame,541081,Low_or_Unzoned
POL-00576,38.36287737273828,-120.357966396192,Commercial,Masonry,716132,Low_or_Unzoned
POL-00577,39.49581914312358,-121.8998677477499,Commercial,Masonry,543466,Low_or_Unzoned
POL-00578,38.80614301240715,-120.84545446748814,Commercial,Wood Frame,902839,Low_or_Unzoned
POL-00579,38.060866461769145,-121.12953102077057,Residential,Wood Frame,69281,Low_or_Unzoned
POL-00580,34.4554914953493,-117.27842333315978,Residential,Wood Frame,173535,Low_or_Unzoned
POL-00581,35.0626213094114,-116.76703166649973,Residential,Wood Frame,754389,Low_or_Unzoned
POL-00582,41.39775407680213,-120.44397909597177,Residential,Masonry,105363,Low_or_Unzoned
POL-00583,36.79589076869264,-119.34429249197645,Residential,Wood Frame,353463,Low_or_Unzoned
POL-00584,41.3718126665151,-121.1322973857285,Commercial,Masonry,517377,Low_or_Unzoned
POL-00585,37.31873068253973,-121.2505697345697,Residential,Masonry,278587,Low_or_Unzoned
POL-00586,41.54221196152077,-121.96318659742448,Commercial,Wood Frame,310752,Low_or_Unzoned
POL-00587,36.82002862852166,-118.1230936236728,Residential,Masonry,671497,Low_or_Unzoned
POL-00588,33.826686920184976,-118.24050217972608,Residential,Masonry,1211580,Low_or_Unzoned
POL-00589,32.78474910379044,-116.7343976391717,Residential,Masonry,251008,Low_or_Unzoned
POL-00590,38.8897201231387,-123.09532947756334,Residential,Wood Frame,341107,Low_or_Unzoned
POL-00591,40.7473514165863,-123.73701133039785,Residential,Wood Frame,301037,Low_or_Unzoned
POL-00592,39.07994654614856,-120.84786535195302,Commercial,Wood Frame,77877,Low_or_Unzoned
POL-00593,38.990856268751635,-123.1807433296707,Residential,Wood Frame,605233,Low_or_Unzoned
POL-00594,37.22316025808006,-121.45785617074874,Residential,Masonry,1141409,Low_or_Unzoned
POL-00595,38.36954878191153,-121.99310640359674,Residential,Masonry,1218723,Low_or_Unzoned
POL-00596,40.75459735254782,-122.25780002785142,Residential,Steel Frame,269247,Low_or_Unzoned
POL-00597,37.92079259306888,-120.18298446696014,Residential,Wood Frame,198519,High
POL-00598,32.78867706711995,-117.1076697477876,Residential,Wood Frame,549786,Low_or_Unzoned
POL-00599,41.34401260731629,-122.21674421171902,Residential,Masonry,1049074,Low_or_Unzoned
POL-00600,39.05050413479983,-120.6498717631187,Commercial,Wood Frame,611628,Low_or_Unzoned
POL-00601,38.92687716488384,-120.3953670181678,Residential,Wood Frame,681085,Low_or_Unzoned
POL-00602,38.68671328189417,-121.96258133139855,Commercial,Wood Frame,1347100,Low_or_Unzoned
POL-00603,38.74953039372884,-121.17250655393345,Residential,Wood Frame,299147,Low_or_Unzoned
POL-00604,41.994430394821336,-121.69865723094478,Commercial,Masonry,453170,Low_or_Unzoned
POL-00605,39.9326620985536,-120.72340660715778,Residential,Wood Frame,1998054,Low_or_Unzoned
POL-00606,39.5152674878876,-121.21524092599569,Residential,Masonry,461644,Low_or_Unzoned
POL-00607,40.84589783236281,-123.86049179603059,Residential,Masonry,196051,Low_or_Unzoned
POL-00608,36.33933305568481,-117.1335647111691,Commercial,Wood Frame,316321,Low_or_Unzoned
POL-00609,38.84213716285406,-120.20358283168586,Residential,Steel Frame,255111,Low_or_Unzoned
POL-00610,40.174536448441955,-121.04151767232821,Residential,Wood Frame,719081,Low_or_Unzoned
POL-00611,36.63804149072286,-121.30700632230152,Residential,Steel Frame,263878,Low_or_Unzoned
POL-00612,37.67264643062807,-119.81357322014111,Residential,Wood Frame,671203,High
POL-00613,32.55470727473215,-116.86630546635159,Residential,Masonry,299883,Low_or_Unzoned
POL-00614,35.58356538405257,-117.22433759313972,Residential,Wood Frame,98843,Low_or_Unzoned
POL-00615,36.19130196206829,-118.09833996310434,Residential,Masonry,690586,Low_or_Unzoned
POL-00616,36.04589202047873,-116.6061192823372,Residential,Masonry,608511,Low_or_Unzoned
POL-00617,34.659061458999936,-118.53317952917793,Residential,Wood Frame,817663,Very High
POL-00618,38.23276163712309,-119.51843340145467,Residential,Steel Frame,315404,Low_or_Unzoned
POL-00619,38.84802158627265,-120.99534573076713,Residential,Wood Frame,289631,Low_or_Unzoned
POL-00620,36.10796491170268,-118.52229766367188,Commercial,Wood Frame,745025,Low_or_Unzoned
POL-00621,37.43127695879407,-119.05314760529555,Residential,Masonry,1821581,Low_or_Unzoned
POL-00622,35.741854362448485,-119.33398184096313,Commercial,Masonry,545214,Low_or_Unzoned
POL-00623,36.11185837846564,-121.2425295206806,Residential,Wood Frame,758932,Low_or_Unzoned
POL-00624,38.01163750765966,-119.2066051598564,Commercial,Wood Frame,417788,Low_or_Unzoned
POL-00625,37.56922419390534,-121.11049716879756,Residential,Steel Frame,157171,Low_or_Unzoned
POL-00626,38.275098381537724,-121.78986974667914,Residential,Masonry,1171673,Low_or_Unzoned
POL-00627,40.223364517802885,-123.10051529013718,Residential,Wood Frame,1117641,Low_or_Unzoned
POL-00628,32.673209535425435,-117.06998384972438,Commercial,Wood Frame,954191,Low_or_Unzoned
POL-00629,32.57184731229235,-116.35328882806823,Residential,Steel Frame,467167,Low_or_Unzoned
POL-00630,33.072540207750826,-115.73958964463131,Residential,Masonry,871215,Low_or_Unzoned
POL-00631,35.840415528776525,-117.71272256010506,Residential,Steel Frame,1104617,Low_or_Unzoned
POL-00632,37.11578171227009,-118.94857314121745,Residential,Wood Frame,1975094,Low_or_Unzoned
POL-00633,35.20629256863827,-117.79088826928052,Residential,Masonry,1191615,Low_or_Unzoned
POL-00634,37.622032128414915,-121.42712147449222,Residential,Masonry,568670,Low_or_Unzoned
POL-00635,35.457423141982034,-118.77300652277701,Residential,Wood Frame,189737,Low_or_Unzoned
POL-00636,38.298170941453726,-123.09912847700633,Residential,Wood Frame,612023,Low_or_Unzoned
POL-00637,35.08992800696857,-116.15237886225106,Commercial,Masonry,663485,Low_or_Unzoned
POL-00638,34.22366430310846,-118.95401275155827,Residential,Wood Frame,952860,Very High
POL-00639,37.489052144837075,-119.59375954192123,Residential,Masonry,1596163,High
POL-00640,39.23593948636311,-123.37952589942527,Commercial,Masonry,500758,Low_or_Unzoned
POL-00641,33.515330769400066,-117.6796619290519,Residential,Masonry,2901648,Low_or_Unzoned
POL-00642,34.93734644516296,-115.80404837210375,Residential,Masonry,132266,Low_or_Unzoned
POL-00643,40.156929222864,-123.31983121465187,Commercial,Wood Frame,755755,Low_or_Unzoned
POL-00644,38.51493806814321,-123.07555459481604,Residential,Wood Frame,285267,Low_or_Unzoned
POL-00645,41.53833175096324,-121.76949557734945,Residential,Masonry,117503,Low_or_Unzoned
POL-00646,38.21531229139015,-120.4568904149509,Commercial,Wood Frame,459815,Low_or_Unzoned
POL-00647,34.66675783351486,-115.7327752503289,Commercial,Wood Frame,168427,Low_or_Unzoned
POL-00648,34.514425979128156,-117.04130924252051,Residential,Wood Frame,474899,Low_or_Unzoned
POL-00649,40.478682377233845,-121.61146174362919,Residential,Wood Frame,555606,Low_or_Unzoned
POL-00650,35.85750310337582,-120.91989927674862,Residential,Masonry,1322233,Low_or_Unzoned
POL-00651,39.914992394816686,-121.73270946528383,Residential,Wood Frame,161770,Low_or_Unzoned
POL-00652,33.40758548142935,-116.88407289727328,Residential,Wood Frame,1117669,Low_or_Unzoned
POL-00653,34.55902810086237,-117.70290758908254,Residential,Steel Frame,584472,Very High
POL-00654,37.69362542078366,-119.88912806154907,Commercial,Masonry,1230682,High
POL-00655,36.213606961102386,-120.69591835499784,Commercial,Masonry,382544,Low_or_Unzoned
POL-00656,39.103873263452144,-120.01760535785532,Residential,Masonry,186130,Low_or_Unzoned
POL-00657,36.34102829699078,-119.57523813296223,Residential,Masonry,204025,Low_or_Unzoned
POL-00658,39.07814343758151,-121.22764437512619,Residential,Masonry,192250,Low_or_Unzoned
POL-00659,39.38121876272304,-120.71937102972737,Residential,Wood Frame,791948,Low_or_Unzoned
POL-00660,37.99467571156089,-119.48239277341207,Residential,Steel Frame,1761255,Low_or_Unzoned
POL-00661,33.25448400539537,-117.3336268337799,Commercial,Wood Frame,343876,Low_or_Unzoned
POL-00662,33.31375337116609,-117.54656233753927,Residential,Steel Frame,893863,Low_or_Unzoned
POL-00663,35.872464905403405,-117.61714529561581,Commercial,Wood Frame,159730,Low_or_Unzoned
POL-00664,37.43106801362857,-118.22433547700368,Residential,Wood Frame,624219,Low_or_Unzoned
POL-00665,33.142319354126045,-115.36819320905785,Residential,Wood Frame,922506,Low_or_Unzoned
POL-00666,34.720264778149115,-119.7851035161154,Residential,Wood Frame,169651,Low_or_Unzoned
POL-00667,37.630113188742854,-119.67731127376273,Residential,Masonry,459040,High
POL-00668,40.86075133183385,-123.69182357841582,Commercial,Steel Frame,958125,Low_or_Unzoned
POL-00669,35.66351817405288,-120.07634074284967,Commercial,Steel Frame,51688,Low_or_Unzoned
POL-00670,38.787472303569096,-121.94661020722563,Residential,Steel Frame,1572791,Low_or_Unzoned
POL-00671,37.79894246501524,-118.71900833731567,Residential,Wood Frame,717080,Low_or_Unzoned
POL-00672,39.441179847272835,-122.47882191832382,Residential,Steel Frame,958746,Low_or_Unzoned
POL-00673,33.071352254707456,-114.93323473538445,Commercial,Wood Frame,388413,Low_or_Unzoned
POL-00674,37.59036300249427,-120.90485120539347,Commercial,Masonry,136192,High
POL-00675,35.80192948027033,-118.38443169267289,Residential,Wood Frame,828399,Low_or_Unzoned
POL-00676,38.816661382628574,-122.54080398283175,Residential,Wood Frame,505815,Low_or_Unzoned
POL-00677,40.05677462750243,-122.52356190242502,Residential,Steel Frame,554428,Low_or_Unzoned
POL-00678,41.3081892850548,-122.56538915848692,Residential,Steel Frame,1289913,Low_or_Unzoned
POL-00679,36.29350120018843,-118.3281162815973,Residential,Masonry,994157,Low_or_Unzoned
POL-00680,33.94795212663897,-115.67634413532066,Residential,Masonry,2513005,Low_or_Unzoned
POL-00681,41.928593270504564,-124.31626875313242,Commercial,Wood Frame,611141,Low_or_Unzoned
POL-00682,41.3065091952808,-123.98545122780163,Residential,Masonry,310838,Low_or_Unzoned
POL-00683,37.62959273766532,-118.48591209478707,Residential,Masonry,464755,Low_or_Unzoned
POL-00684,37.4491007840844,-121.06924164902935,Commercial,Wood Frame,753534,Low_or_Unzoned
POL-00685,38.424064036026216,-120.82904881251892,Residential,Wood Frame,1217956,Low_or_Unzoned
POL-00686,33.34668210510216,-118.23836177628385,Residential,Wood Frame,167104,Low_or_Unzoned
POL-00687,39.67506899471967,-121.62076466419646,Residential,Masonry,544068,Low_or_Unzoned
POL-00688,32.84352361498524,-116.71231664558586,Residential,Wood Frame,1958390,Low_or_Unzoned
POL-00689,35.37971938148062,-117.41007620559861,Residential,Wood Frame,445892,Low_or_Unzoned
POL-00690,35.921295870979435,-120.79894900709482,Residential,Wood Frame,1138030,Low_or_Unzoned
POL-00691,41.4010993187951,-123.13650135911224,Commercial,Wood Frame,801703,Low_or_Unzoned
POL-00692,36.74842413479594,-117.90235526573083,Residential,Masonry,1160879,Low_or_Unzoned
POL-00693,38.20564616692587,-122.56693610470995,Commercial,Masonry,282714,Low_or_Unzoned
POL-00694,37.22115308760539,-118.42305699822,Residential,Wood Frame,283701,Low_or_Unzoned
POL-00695,34.480849886394694,-117.11558910880926,Commercial,Wood Frame,549199,Low_or_Unzoned
POL-00696,40.84075604422816,-121.4955820541877,Residential,Wood Frame,158613,Low_or_Unzoned
POL-00697,40.1562913011174,-121.20129832971179,Residential,Masonry,435481,Low_or_Unzoned
POL-00698,34.14848289237183,-117.02168784563983,Residential,Wood Frame,661523,Low_or_Unzoned
POL-00699,39.10203534457339,-122.65315202410405,Residential,Wood Frame,2252854,Low_or_Unzoned
POL-00700,40.31356535452643,-122.2769990924463,Residential,Masonry,745771,Low_or_Unzoned
POL-00701,38.259402908634286,-122.96054714982165,Commercial,Wood Frame,891074,Low_or_Unzoned
POL-00702,36.28729876383697,-117.32399114084866,Residential,Masonry,1371726,Low_or_Unzoned
POL-00703,33.890552925541364,-118.2663114909583,Residential,Wood Frame,249764,Low_or_Unzoned
POL-00704,35.99157701176955,-116.57431168719552,Residential,Masonry,473512,Low_or_Unzoned
POL-00705,37.720530591002664,-121.43138595423643,Commercial,Wood Frame,3761506,Low_or_Unzoned
POL-00706,41.67531053095559,-121.40441899735895,Residential,Wood Frame,507221,Low_or_Unzoned
POL-00707,36.608729844136256,-120.77724380729963,Commercial,Wood Frame,1320003,High
POL-00708,35.462253264309965,-118.57176214645162,Commercial,Masonry,1168218,Low_or_Unzoned
POL-00709,37.30834769698232,-121.85061118523068,Residential,Steel Frame,165629,Low_or_Unzoned
POL-00710,33.05255605730202,-117.3933895418845,Residential,Wood Frame,692721,Low_or_Unzoned
POL-00711,41.95123001311279,-121.33333786632771,Commercial,Masonry,607676,Low_or_Unzoned
POL-00712,39.102834674156256,-121.31078201463646,Residential,Masonry,703601,Low_or_Unzoned
POL-00713,41.84494979000243,-123.52331720274191,Residential,Steel Frame,295584,Low_or_Unzoned
POL-00714,35.38111390189216,-116.14642704929534,Commercial,Masonry,221120,Low_or_Unzoned
POL-00715,39.075532746094254,-123.13163545169047,Commercial,Wood Frame,369236,Low_or_Unzoned
POL-00716,33.09177208223559,-117.74399603006803,Commercial,Masonry,499700,Low_or_Unzoned
POL-00717,41.96862011160328,-123.4750945998556,Residential,Wood Frame,1394417,Low_or_Unzoned
POL-00718,40.23271756030718,-122.74808992884144,Residential,Wood Frame,2312520,Low_or_Unzoned
POL-00719,35.409409397472814,-115.87455184585,Residential,Wood Frame,1651638,Low_or_Unzoned
POL-00720,38.427010444770566,-120.78232209527151,Residential,Steel Frame,1075340,Low_or_Unzoned
POL-00721,36.54779214695853,-118.8586054264856,Residential,Steel Frame,241960,Low_or_Unzoned
POL-00722,33.74174857903189,-117.39019523343308,Residential,Masonry,389602,Low_or_Unzoned
POL-00723,36.77295416380257,-117.89829284187007,Residential,Steel Frame,639179,Low_or_Unzoned
POL-00724,36.43423264902481,-119.71654878910385,Commercial,Masonry,325803,Low_or_Unzoned
POL-00725,33.80254220442549,-117.28987457689664,Commercial,Wood Frame,857489,Low_or_Unzoned
POL-00726,37.58544624879962,-121.94204468418695,Commercial,Wood Frame,961633,Low_or_Unzoned
POL-00727,34.544417784163755,-116.11516369962871,Residential,Wood Frame,829876,Low_or_Unzoned
POL-00728,34.79141384719564,-116.3026573061979,Residential,Wood Frame,1227030,Low_or_Unzoned
POL-00729,40.1146025628884,-120.48024935493143,Commercial,Wood Frame,262059,Low_or_Unzoned
POL-00730,37.13461341730044,-119.98350131298332,Residential,Wood Frame,1139685,High
POL-00731,37.705615145250086,-121.24110566436474,Residential,Masonry,309738,Low_or_Unzoned
POL-00732,33.431784517450325,-114.62211597803815,Residential,Masonry,254549,Low_or_Unzoned
POL-00733,33.92546231459285,-115.31519167860606,Residential,Masonry,827109,Low_or_Unzoned
POL-00734,35.58442130545557,-116.75696986501522,Residential,Steel Frame,1429304,Low_or_Unzoned
POL-00735,39.504892235184094,-121.84520729275197,Commercial,Wood Frame,798436,Low_or_Unzoned
POL-00736,36.86474429985687,-117.8516239135944,Commercial,Masonry,549433,Low_or_Unzoned
POL-00737,40.974804544932226,-121.7999003133545,Residential,Wood Frame,692541,Low_or_Unzoned
POL-00738,39.9755821694253,-124.2047241840818,Residential,Wood Frame,602679,Low_or_Unzoned
POL-00739,35.49636550960612,-120.55912586938335,Commercial,Steel Frame,219528,Low_or_Unzoned
POL-00740,34.91937090943749,-115.85846246830718,Residential,Wood Frame,199966,Low_or_Unzoned
POL-00741,40.48828000454627,-122.03217136247486,Residential,Wood Frame,507341,Low_or_Unzoned
POL-00742,41.06673892528652,-120.24543000295904,Commercial,Wood Frame,576012,Low_or_Unzoned
POL-00743,36.88403591393497,-118.2415422474847,Commercial,Masonry,545286,Low_or_Unzoned
POL-00744,38.54836198058847,-121.66888490794459,Commercial,Steel Frame,928087,Low_or_Unzoned
POL-00745,37.42487620847944,-122.27997179101143,Residential,Wood Frame,454802,Low_or_Unzoned
POL-00746,33.30552415243513,-116.15134203346939,Residential,Masonry,847785,Low_or_Unzoned
POL-00747,39.30507218659548,-123.07466854245104,Commercial,Wood Frame,481340,Low_or_Unzoned
POL-00748,41.58676328384506,-121.35605718956738,Residential,Wood Frame,2323736,Low_or_Unzoned
POL-00749,39.506329414860566,-123.44837252617894,Commercial,Wood Frame,576407,Low_or_Unzoned
POL-00750,35.317088022232724,-115.93246421114033,Residential,Masonry,3515098,Low_or_Unzoned
POL-00751,35.82218068258557,-120.52768612476477,Commercial,Wood Frame,716124,Low_or_Unzoned
POL-00752,39.859208546221225,-123.57183184495904,Residential,Wood Frame,455457,Low_or_Unzoned
POL-00753,38.78302080516894,-120.9066319898215,Residential,Wood Frame,263140,Low_or_Unzoned
POL-00754,34.154038685673804,-117.88832224977837,Residential,Wood Frame,170363,Very High
POL-00755,38.772875837162715,-122.75134560827867,Residential,Masonry,244469,Low_or_Unzoned
POL-00756,35.01794106908754,-115.88108540273714,Residential,Wood Frame,267350,Low_or_Unzoned
POL-00757,41.69467033102779,-123.90543164753564,Residential,Wood Frame,741074,Low_or_Unzoned
POL-00758,36.12842657670251,-119.28419400593717,Commercial,Wood Frame,354714,Low_or_Unzoned
POL-00759,34.45402899085777,-115.64907243420993,Residential,Wood Frame,627526,Low_or_Unzoned
POL-00760,38.61709040864074,-122.67338108801495,Residential,Masonry,1506926,Low_or_Unzoned
POL-00761,37.53787026586701,-120.70723138075398,Residential,Wood Frame,503708,High
POL-00762,41.70064338714665,-123.75768561406416,Commercial,Wood Frame,2851413,Low_or_Unzoned
POL-00763,40.08778482071846,-120.70382802848896,Residential,Wood Frame,210944,Low_or_Unzoned
POL-00764,35.281809348659166,-118.88460560404748,Residential,Wood Frame,479037,Low_or_Unzoned
POL-00765,38.21787510154506,-119.51739759246438,Commercial,Masonry,351002,Low_or_Unzoned
POL-00766,33.7169095904789,-115.19074786422482,Residential,Masonry,1143043,Low_or_Unzoned
POL-00767,35.71354130694773,-120.18510320032385,Residential,Masonry,90054,Low_or_Unzoned
POL-00768,34.63384831251659,-117.88480385350232,Residential,Wood Frame,170332,Very High
POL-00769,36.03558672645638,-120.11747911109504,Commercial,Masonry,495896,Low_or_Unzoned
POL-00770,34.3759696536694,-116.77162829552631,Residential,Masonry,1869351,Low_or_Unzoned
POL-00771,40.92578655198806,-121.13983081258239,Commercial,Wood Frame,647370,Low_or_Unzoned
POL-00772,41.22980206957577,-120.22887563999394,Commercial,Masonry,183278,Low_or_Unzoned
POL-00773,34.896289691646935,-116.49520725607468,Residential,Masonry,207371,Low_or_Unzoned
POL-00774,39.67289832308964,-122.98930036840731,Commercial,Wood Frame,2060360,Low_or_Unzoned
POL-00775,40.49898625245559,-124.29028420793071,Residential,Wood Frame,328762,Low_or_Unzoned
POL-00776,37.67775572952091,-120.06179049359703,Residential,Masonry,254137,High
POL-00777,32.91015049007161,-116.81169833372167,Residential,Wood Frame,1761890,Low_or_Unzoned
POL-00778,33.75142334781834,-115.96200895294189,Commercial,Masonry,1213328,Low_or_Unzoned
POL-00779,40.26896063364098,-122.28698745598598,Residential,Masonry,1497410,Low_or_Unzoned
POL-00780,39.46161467527938,-120.13590828869387,Residential,Masonry,252702,Low_or_Unzoned
POL-00781,37.65125345217256,-121.78784549416028,Residential,Wood Frame,159518,Low_or_Unzoned
POL-00782,35.3267102875288,-119.79510238352769,Residential,Wood Frame,601109,Low_or_Unzoned
POL-00783,37.86770893216065,-119.37704794956733,Residential,Wood Frame,706515,Low_or_Unzoned
POL-00784,39.04441036947586,-122.35530708666784,Residential,Masonry,723373,Low_or_Unzoned
POL-00785,38.54476786280286,-120.73320363929967,Residential,Masonry,1763034,Low_or_Unzoned
POL-00786,36.884796006988005,-119.39820113500906,Residential,Masonry,134994,Low_or_Unzoned
POL-00787,33.44219194607855,-116.95365770728564,Residential,Wood Frame,1074919,Low_or_Unzoned
POL-00788,36.31419600068224,-118.344527262802,Residential,Steel Frame,224740,Low_or_Unzoned
POL-00789,37.77330701837172,-119.62866923372364,Commercial,Steel Frame,1071519,High
POL-00790,39.46417731228191,-121.91890483626297,Commercial,Wood Frame,369547,Low_or_Unzoned
POL-00791,39.729412220266894,-123.14150352184964,Residential,Wood Frame,281763,Low_or_Unzoned
POL-00792,39.584470935946705,-123.45896582108494,Residential,Masonry,331730,Low_or_Unzoned
